q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q054,q055,q056,q061,q062,q063,q065,q070,q071,q072,q073,q074,q075,q076,q081,q081_denom,q081_numer,q082,q083,year
49926.53591855924,10885.737747516312,19972.064274635974,2316.1118433274983,2123.314580998951,89023.02718103045,18633.17803997179,37952.7684477334,158.33333333333331,104098.95644786081,30820.0,3729.7361917944463,580.262397819588,550.9818026847635,7.692307692307691,1555.3756442347199,1048.9244348784955,24979.088758279024,7.268314596892599,,27906.0,-124.698796499086,-126.0706355699124,-98.50388820933222,35.63400612217724,5735.1823376778775,413.74710953619433,-148.58852241304712,14357.91688501076,489095.0,324608.0,6943.305084899111,24534.882123794963,2005
48279.875264567236,12363.377855654546,19396.99369960034,2439.5242303205723,2083.2552568108986,1112372.2898448864,17055.8595646206,35465.63259687688,45.8333333333333,108051.28006046634,27299.0,2976.738554964057,418.1544464680751,273.6053402218043,,1167.6550664786637,762.6719314861663,25654.114774921643,3.7652645861601104,,8448.0,-54.4166358226163,57.27051410594519,30.6203502216681,33.78307394874858,5870.3093646875805,768.2143851197674,-15.401781722903362,20097.186463483125,478814.0,320039.0,9062.43370640723,29458.21674531701,2006
39858.200239783175,11202.365167267675,18831.85895170474,2886.6881572620064,2263.7035640350127,192454.94717017817,17086.46009643728,34579.66619890156,,108774.89609757489,33396.0,2648.540413199553,442.6370243254476,141.25416844774196,,859.5679587883806,1462.2192695702672,21928.697915474502,,1.5957446808510602,4715.0,294.74113787604705,34.825422322392896,,51.65798276350704,7069.589373238092,471.25415326305176,-14.535926980897923,15822.455960969974,98291.0,67350.0,9692.238602876756,33277.28340923378,2007
76069.80902166256,11284.752530271404,15164.471847455487,2650.186960116627,2208.4241512507588,2743164.9132561255,17883.17717422143,37947.067827022925,179.3714230667761,108405.41758191695,216744.0,1966.6201705018889,378.91942909054666,277.6588408772622,,1418.8113059117472,2505.182157855599,32401.161584118974,1.11111111111111,4.03082851637765,14016.0,498.1469225046497,249.23800680415434,64.3770162554745,52.028651220016684,26922.564528405455,1476.3662162404405,-379.7188287833705,15074.466172429997,248788.0,168972.0,10870.31792464064,37195.87934176321,2008
26471.926286856135,9417.833119053186,15581.843620812228,3189.112194246909,1873.914973090931,-254874.12299091017,15841.82613965324,32034.85270520108,50.0,104459.43746751553,6792.0,1775.72523618803,462.0774048083201,186.39080117382025,,1392.6069567949007,993.9727681290914,35119.6317399619,,1.0337401292175201,663.0,498.04251993869644,69.62165068131749,,31.167888189377003,25642.81199001154,696.14786235631,-33.317208345397304,14897.426421967952,55512.0,35169.0,11312.485240548689,34244.165346949514,2009
19598.303080432535,7945.20347421288,12697.384249660752,2610.176941619955,1706.0737920701015,388370.6553777311,15890.482932225532,31061.25416264312,251.4719400096758,102582.25470913932,9645.0,1167.2543943339917,200.22265802128305,143.41803900231326,,552.3696980511526,1160.828688235863,4323.663748279629,14.7651006711409,,760.0,-6.041154874703608,32.4472806465998,64.8652066658384,63.06055290919864,20638.496932554903,621.4385140665504,-232.24622416310024,15500.573708626922,49493.0,28974.0,13277.762981538051,36067.70873893095,2010
17092.29446898426,7064.021719904201,11930.080119959237,2584.290654562763,1559.486146998959,511790.0599362249,18958.455402526324,37934.38290593042,123.3333333333333,103512.83646099952,12107.0,1185.6856544118757,305.6370319318369,184.53964277905783,2.48447204968944,596.1699207280981,253.782622606152,4655.52750157263,,,,28.29082675750529,81.5566525967772,126.93995208023802,63.57396213325451,15403.222780042906,278.6835964736249,-13.855994609184606,14854.07021965264,30080.0,18658.0,12679.460983111323,34935.47124743346,2011
17525.575079528393,5722.494135963964,8961.455383420875,2734.2830763127463,1322.7528659031202,2370516.199228586,17736.788688847988,38583.425077910964,58.3333333333333,96141.74408879635,20517.0,638.5903516674088,218.84698857764744,169.3086095587947,,569.0441133446798,550.1347908161976,3414.922436206887,,,,1082.2961904972829,509.7666077222199,205.3006104033115,44.509581522774425,22879.23242741573,502.3806797395,91.97746468707913,15162.389201551128,59394.0,53216.0,13404.75233653893,36095.409558166975,2012
16710.406340461523,5107.710049057972,8283.726996504407,2983.171630622266,1102.0883936768241,228091.06242407905,19825.57286312348,43188.74230912236,,93320.21559718471,21180.0,913.7666331273202,222.88624264125093,103.72269843630139,,446.8718010659902,427.667384923217,2278.1304665921475,,,,300.4968370921617,429.1976788924221,32.6054716982032,22.43764097170158,17670.357978202937,160.11252492337792,67.3960074782371,15082.537435188546,20586.0,13353.0,13121.569208592775,37596.00465111314,2013
16254.488280092733,5288.007161300691,7412.035722064628,2544.1403415093205,1373.5012544540637,8573.42016450922,19750.464337971192,44603.33062500923,130.0,89550.14855056175,16392.0,1011.042007453995,362.07200540167736,164.0671653332935,,332.9348795657346,390.8987135196495,1968.6044326397462,45.945945945946,2.39598278335724,,2.4610962836272137,10.553113050152277,202.07835622037788,35.16684328834102,10559.495942376443,109.50162222956848,331.27267687232256,17532.27797753474,28508.0,18280.0,15093.739221236005,42286.01752495858,2014
